ConductorName,MOT,RatingAmps,RatingMVA_69,RatingMVA_138
3/0 ACSR 6/1 PIGEON,85,335,40,80
4/0 ACSR 6/1 PENGUIN,85,376,45,90
336.4 ACSR 30/7 ORIOLE,75,531,63,127
336.4 ACSR 30/7 ORIOLE,85,590,70,141
336.4 ACSR 30/7 ORIOLE,95,642,76,153
556.5 ACSR 26/7 DOVE,75,721,86,172
556.5 ACSR 26/7 DOVE,85,804,96,192
795 ACSR 26/7 DRAKE,75,902,107,215
795 ACSR 26/7 DRAKE,80,957,114,228
795 ACSR 26/7 DRAKE,85,1009,120,241
954 ACSR 54/7 CARDINAL,85,1101,131,263
1272 ACSR 45/7 BITTERN,75,1163,139,278
1272 ACSR 45/7 BITTERN,80,1236,147,295
1590 ACSR 54/19 FALCON,85,1515,181,362
